SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

DATA,HERDADE DE VALADA (26M/01C),,HERDADE DE VALADA (26M/01C),,HERDADE DE VALADA (26M/01C),,HERDADE DE VALADA (26M/01C),,IDANHA-A-VELHA (14O/01UG),,IDANHA-A-VELHA (14O/01UG),,IDANHA-A-VELHA (14O/01UG),,IDANHA-A-VELHA (14O/01UG),,ISNA (14J/02UG),,ISNA (14J/02UG),,ISNA (14J/02UG),,ISNA (14J/02UG),,IZEDA (04Q/01UG),,IZEDA (04Q/01UG),,IZEDA (04Q/01UG),,IZEDA (04Q/01UG),,
02/08/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
03/08/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
04/08/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
05/08/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
06/08/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
07/08/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
08/08/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
09/08/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
10/08/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
11/08/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
12/08/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
13/08/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
14/08/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
15/08/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
16/08/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
17/08/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
18/08/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
19/08/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
20/08/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
21/08/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
22/08/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
23/08/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
24/08/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
25/08/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
26/08/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
27/08/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
28/08/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
29/08/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
30/08/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
31/08/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
01/09/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
02/09/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
03/09/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
04/09/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
05/09/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
06/09/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
07/09/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,2.1,(vco),,,,,,,0,(vco),,,,,
08/09/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
09/09/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
10/09/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
11/09/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,4.6,(vco),,,,,
12/09/1991 09:00,,,0.8,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
13/09/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
14/09/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
15/09/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
16/09/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
17/09/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
18/09/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
19/09/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
20/09/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,12.2,(vco),,,,,,,0,(vco),,,,,
21/09/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
22/09/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
23/09/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
24/09/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
25/09/1991 09:00,,,1.1,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
26/09/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,2.2,(vco),,,,,
27/09/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,20.3,(vco),,,,,,,0,(vco),,,,,
28/09/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,5.8,(vco),,,,,,,0,(vco),,,,,
29/09/1991 09:00,,,4.5,(vco),,,,,,,5.7,(vco),,,,,,,0,(vco),,,,,,,9.4,(vco),,,,,
30/09/1991 09:00,,,1.9,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
01/10/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
02/10/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
03/10/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
04/10/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
05/10/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
06/10/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
07/10/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
08/10/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,2.6,(vco),,,,,
09/10/1991 09:00,,,5.7,(vco),,,,,,,4.2,(vco),,,,,,,18.2,(vco),,,,,,,6.2,(vco),,,,,
10/10/1991 09:00,,,1.2,(vco),,,,,,,0,(vco),,,,,,,3.8,(vco),,,,,,,7.8,(vco),,,,,
11/10/1991 09:00,,,4.3,(vco),,,,,,,16,(vco),,,,,,,9.2,(vco),,,,,,,12.2,(vco),,,,,
12/10/1991 09:00,,,4.8,(vco),,,,,,,14,(vco),,,,,,,8,(vco),,,,,,,2.3,(vco),,,,,
13/10/1991 09:00,,,11.7,(vco),,,,,,,3.3,(vco),,,,,,,0,(vco),,,,,,,4.5,(vco),,,,,
14/10/1991 09:00,,,1.4,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,4.1,(vco),,,,,
15/10/1991 09:00,,,0.5,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
16/10/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
17/10/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
18/10/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
19/10/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
20/10/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
21/10/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
22/10/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
23/10/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
24/10/1991 09:00,,,0.2,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
25/10/1991 09:00,,,7.4,(vco),,,,,,,0,(vco),,,,,,,18,(vco),,,,,,,0,(vco),,,,,
26/10/1991 09:00,,,7.9,(vco),,,,,,,35.6,(vco),,,,,,,42.7,(vco),,,,,,,12.6,(vco),,,,,
27/10/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
28/10/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
29/10/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
30/10/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,3.4,(vco),,,,,
31/10/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
01/11/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
02/11/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,12.2,(vco),,,,,
03/11/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,18.4,(vco),,,,,
04/11/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,20.2,(vco),,,,,,,10.5,(vco),,,,,
05/11/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
06/11/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
07/11/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
08/11/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
09/11/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
10/11/1991 09:00,,,0,(vco),,,,,,,1.2,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
11/11/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
12/11/1991 09:00,,,0,(vco),,,,,,,2,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
13/11/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,19.3,(vco),,,,,,,10.4,(vco),,,,,
14/11/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,22.1,(vco),,,,,,,4.3,(vco),,,,,
15/11/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,11.2,(vco),,,,,
16/11/1991 09:00,,,2.1,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,1.5,(vco),,,,,
17/11/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
18/11/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
19/11/1991 09:00,,,0.4,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,1.4,(vco),,,,,
20/11/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
21/11/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
22/11/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
23/11/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,10,(vco),,,,,,,0,(vco),,,,,
24/11/1991 09:00,,,0,(vco),,,,,,,1.1,(vco),,,,,,,20,(vco),,,,,,,0,(vco),,,,,
25/11/1991 09:00,,,0,(vco),,,,,,,1.3,(vco),,,,,,,6,(vco),,,,,,,4.2,(vco),,,,,
26/11/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,2.1,(vco),,,,,
27/11/1991 09:00,,,0,(vco),,,,,,,3.3,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
28/11/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
29/11/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
30/11/1991 09:00,,,0.4,(vco),,,,,,,0,(vco),,,,,,,10.4,(vco),,,,,,,0,(vco),,,,,
01/12/1991 09:00,,,6.8,(vco),,,,,,,23.8,(vco),,,,,,,0,(vco),,,,,,,12.4,(vco),,,,,
02/12/1991 09:00,,,8.2,(vco),,,,,,,20.3,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
03/12/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
04/12/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
05/12/1991 09:00,,,3.9,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
06/12/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
07/12/1991 09:00,,,0.5,(vco),,,,,,,2.4,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
08/12/1991 09:00,,,3.8,(vco),,,,,,,3.1,(vco),,,,,,,14,(vco),,,,,,,0,(vco),,,,,
09/12/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,4.6,(vco),,,,,,,0,(vco),,,,,
10/12/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
11/12/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
12/12/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
13/12/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
14/12/1991 09:00,,,3.6,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
15/12/1991 09:00,,,3.1,(vco),,,,,,,14,(vco),,,,,,,0,(vco),,,,,,,19.5,(vco),,,,,
16/12/1991 09:00,,,0.4,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
17/12/1991 09:00,,,22.5,(vco),,,,,,,1.2,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
18/12/1991 09:00,,,0.2,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
19/12/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
20/12/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
21/12/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
22/12/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
23/12/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
24/12/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
25/12/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
26/12/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
27/12/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
28/12/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
29/12/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
30/12/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
31/12/1991 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
01/01/1992 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
02/01/1992 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
03/01/1992 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
04/01/1992 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
05/01/1992 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
06/01/1992 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
07/01/1992 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
08/01/1992 09:00,,,2,(vco),,,,,,,4,(vco),,,,,,,20,(vco),,,,,,,14.4,(vco),,,,,
09/01/1992 09:00,,,0.2,(vco),,,,,,,19.2,(vco),,,,,,,31.3,(vco),,,,,,,21.1,(vco),,,,,
10/01/1992 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,6.1,(vco),,,,,,,0,(vco),,,,,
11/01/1992 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
12/01/1992 09:00,,,0.9,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
13/01/1992 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
14/01/1992 09:00,,,0.9,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
15/01/1992 09:00,,,11.4,(vco),,,,,,,2,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
16/01/1992 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
17/01/1992 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
18/01/1992 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
19/01/1992 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
20/01/1992 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
21/01/1992 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
22/01/1992 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
23/01/1992 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
24/01/1992 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
25/01/1992 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
26/01/1992 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
27/01/1992 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
28/01/1992 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
29/01/1992 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
30/01/1992 09:00,,,0.9,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
31/01/1992 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
01/02/1992 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
02/02/1992 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
03/02/1992 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
04/02/1992 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
05/02/1992 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
06/02/1992 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
07/02/1992 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
08/02/1992 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
09/02/1992 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,12,(vco),,,,,,,0,(vco),,,,,
10/02/1992 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
11/02/1992 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
12/02/1992 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
13/02/1992 09:00,,,6,(vco),,,,,,,12,(vco),,,,,,,41,(vco),,,,,,,8.2,(vco),,,,,
14/02/1992 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
15/02/1992 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
16/02/1992 09:00,,,0.2,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
17/02/1992 09:00,,,0,(vco),,,,,,,5.3,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
18/02/1992 09:00,,,2.7,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
19/02/1992 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
20/02/1992 09:00,,,0,(vco),,,,,,,23.5,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
21/02/1992 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
22/02/1992 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
23/02/1992 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
24/02/1992 09:00,,,1.1,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
25/02/1992 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
26/02/1992 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
27/02/1992 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
28/02/1992 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
29/02/1992 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
01/03/1992 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
02/03/1992 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
03/03/1992 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
04/03/1992 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
05/03/1992 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
06/03/1992 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
07/03/1992 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
08/03/1992 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
09/03/1992 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
10/03/1992 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
11/03/1992 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
12/03/1992 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
